Epoch,Machine Training,Discriminator Loss,Generator Loss,FPR,Recall,Median Wasserstein,Mean Wasserstein
272,Discriminator,0.65473,0.79700,0.38462,0.38462,0.35718,0.36032
273,Discriminator,0.65662,0.80827,0.26923,0.50000,0.36813,0.42408
274,Discriminator,0.62888,0.84679,0.26923,0.38462,0.44221,0.44457
275,Generator,0.62888,0.75582,0.26923,0.69231,0.45126,0.41033
276,Generator,0.62888,0.77873,0.34615,0.61538,0.31999,0.31006
277,Discriminator,0.64119,0.74280,0.30769,0.42308,0.51846,0.55360
278,Discriminator,0.64091,0.77336,0.42308,0.53846,0.41070,0.42220
279,Discriminator,0.63621,0.83518,0.30769,0.42308,0.38427,0.38838
280,Discriminator,0.65259,0.87101,0.26923,0.38462,0.37014,0.35862
281,Discriminator,0.64130,0.85216,0.34615,0.53846,0.37336,0.37447
282,Generator,0.64130,0.81762,0.19231,0.38462,0.31652,0.34441
283,Generator,0.64130,0.78314,0.38462,0.53846,0.41827,0.40407
284,Discriminator,0.66637,0.79825,0.30769,0.69231,0.33490,0.33658
285,Discriminator,0.63719,0.78618,0.23077,0.38462,0.41030,0.41217
286,Discriminator,0.64357,0.78929,0.23077,0.50000,0.30469,0.31282
287,Discriminator,0.63716,0.83849,0.30769,0.53846,0.28805,0.29914
288,Discriminator,0.60738,0.82694,0.26923,0.57692,0.42234,0.37438
289,Generator,0.60738,0.80273,0.23077,0.61538,0.40694,0.39064
290,Generator,0.60738,0.82114,0.34615,0.57692,0.45787,0.47190
291,Discriminator,0.64816,0.84140,0.42308,0.65385,0.37569,0.40059
292,Discriminator,0.63839,0.82359,0.26923,0.38462,0.35805,0.35678
293,Discriminator,0.63776,0.84415,0.23077,0.30769,0.29539,0.30113
294,Discriminator,0.61030,0.85740,0.19231,0.42308,0.36845,0.36434
295,Discriminator,0.64288,0.86372,0.07692,0.53846,0.27057,0.28572
296,Generator,0.64288,0.83330,0.15385,0.57692,0.24843,0.28512
297,Generator,0.64288,0.79503,0.26923,0.38462,0.38757,0.35865
298,Discriminator,0.62822,0.80210,0.26923,0.42308,0.34686,0.31359
299,Discriminator,0.62908,0.84429,0.15385,0.53846,0.40204,0.40381
300,Discriminator,0.62122,0.84902,0.19231,0.50000,0.38949,0.36479
301,Discriminator,0.63582,0.86878,0.15385,0.61538,0.35242,0.39067
302,Discriminator,0.63967,0.83524,0.11538,0.61538,0.34658,0.34890
303,Generator,0.63967,0.82106,0.19231,0.46154,0.31373,0.32383
304,Generator,0.63967,0.78867,0.19231,0.42308,0.36048,0.37275
305,Discriminator,0.61715,0.80751,0.34615,0.46154,0.34811,0.35811
306,Discriminator,0.60834,0.81851,0.15385,0.69231,0.33571,0.33685
307,Discriminator,0.62933,0.85341,0.19231,0.57692,0.33775,0.34506
308,Discriminator,0.60465,0.80698,0.15385,0.61538,0.45402,0.49493
309,Discriminator,0.59723,0.85826,0.19231,0.73077,0.34488,0.37133
310,Generator,0.59723,0.88801,0.30769,0.50000,0.43773,0.41671
311,Generator,0.59723,0.82910,0.23077,0.65385,0.33447,0.35179
312,Discriminator,0.64389,0.77645,0.23077,0.53846,0.30559,0.33308
313,Discriminator,0.60551,0.84837,0.26923,0.53846,0.33203,0.36343
314,Discriminator,0.62483,0.88295,0.23077,0.53846,0.40042,0.40942
315,Discriminator,0.63313,0.86221,0.19231,0.50000,0.29945,0.32488
316,Discriminator,0.58903,0.88287,0.15385,0.73077,0.27400,0.29796
317,Generator,0.58903,0.83776,0.30769,0.65385,0.37623,0.37262
318,Generator,0.58903,0.83918,0.34615,0.61538,0.27383,0.30046
319,Discriminator,0.66491,0.83523,0.23077,0.57692,0.28515,0.30957
320,Discriminator,0.66088,0.85436,0.23077,0.61538,0.39265,0.42090
321,Discriminator,0.61468,0.83724,0.15385,0.53846,0.28136,0.30227
